curve,wing_loading_kg_m2,speed_kmh,speed_mps,speed_knots,sink_ms
G/S=31 kg/m^2 (dotted),31.0,69.85,19.4028,37.716,1.2
G/S=31 kg/m^2 (dotted),31.0,69.85,19.4028,37.716,1.1
G/S=31 kg/m^2 (dotted),31.0,69.91,19.4194,37.7484,0.98
G/S=31 kg/m^2 (dotted),31.0,70.1,19.4722,37.851,0.92
G/S=31 kg/m^2 (dotted),31.0,70.41,19.5583,38.0184,0.87
G/S=31 kg/m^2 (dotted),31.0,72.0,20.0,38.8769,0.7555
G/S=31 kg/m^2 (dotted),31.0,75.0,20.8333,40.4968,0.6778
G/S=31 kg/m^2 (dotted),31.0,80.0,22.2222,43.1965,0.6343
G/S=31 kg/m^2 (dotted),31.0,85.0,23.6111,45.8963,0.6305
G/S=31 kg/m^2 (dotted),31.0,90.0,25.0,48.5961,0.6586
G/S=31 kg/m^2 (dotted),31.0,95.0,26.3889,51.2959,0.702
G/S=31 kg/m^2 (dotted),31.0,100.0,27.7778,53.9957,0.7502
G/S=31 kg/m^2 (dotted),31.0,105.0,29.1667,56.6955,0.7966
G/S=31 kg/m^2 (dotted),31.0,110.0,30.5556,59.3952,0.8604
G/S=31 kg/m^2 (dotted),31.0,115.0,31.9444,62.095,0.9326
G/S=31 kg/m^2 (dotted),31.0,120.0,33.3333,64.7948,1.013
G/S=31 kg/m^2 (dotted),31.0,125.0,34.7222,67.4946,1.0933
G/S=31 kg/m^2 (dotted),31.0,130.0,36.1111,70.1944,1.1796
G/S=31 kg/m^2 (dotted),31.0,135.0,37.5,72.8942,1.2727
G/S=31 kg/m^2 (dotted),31.0,140.0,38.8889,75.594,1.3776
G/S=31 kg/m^2 (dotted),31.0,145.0,40.2778,78.2937,1.4889
G/S=31 kg/m^2 (dotted),31.0,150.0,41.6667,80.9935,1.6136
G/S=31 kg/m^2 (dotted),31.0,155.0,43.0556,83.6933,1.7516
G/S=31 kg/m^2 (dotted),31.0,160.0,44.4444,86.3931,1.8977
G/S=31 kg/m^2 (dotted),31.0,165.0,45.8333,89.0929,2.0591
G/S=31 kg/m^2 (dotted),31.0,170.0,47.2222,91.7927,2.2355
G/S=31 kg/m^2 (dotted),31.0,175.0,48.6111,94.4924,2.4161
G/S=31 kg/m^2 (dotted),31.0,180.0,50.0,97.1922,2.6122
G/S=31 kg/m^2 (dotted),31.0,185.0,51.3889,99.892,2.8219
G/S=31 kg/m^2 (dotted),31.0,190.0,52.7778,102.5918,3.0374
G/S=31 kg/m^2 (dotted),31.0,195.0,54.1667,105.2916,3.277
G/S=31 kg/m^2 (dotted),31.0,200.0,55.5556,107.9914,3.5276
G/S=31 kg/m^2 (dotted),31.0,205.0,56.9444,110.6911,3.7742
G/S=37 kg/m^2 (solid),37.0,74.5,20.6944,40.2268,1.34
G/S=37 kg/m^2 (solid),37.0,74.5,20.6944,40.2268,1.25
G/S=37 kg/m^2 (solid),37.0,74.55,20.7083,40.2538,1.15
G/S=37 kg/m^2 (solid),37.0,75.43,20.9528,40.7289,0.97
G/S=37 kg/m^2 (solid),37.0,76.0,21.1111,41.0367,0.9155
G/S=37 kg/m^2 (solid),37.0,80.0,22.2222,43.1965,0.7397
G/S=37 kg/m^2 (solid),37.0,85.0,23.6111,45.8963,0.6757
G/S=37 kg/m^2 (solid),37.0,90.0,25.0,48.5961,0.6709
G/S=37 kg/m^2 (solid),37.0,95.0,26.3889,51.2959,0.6979
G/S=37 kg/m^2 (solid),37.0,100.0,27.7778,53.9957,0.7508
G/S=37 kg/m^2 (solid),37.0,105.0,29.1667,56.6955,0.8013
G/S=37 kg/m^2 (solid),37.0,110.0,30.5556,59.3952,0.8254
G/S=37 kg/m^2 (solid),37.0,115.0,31.9444,62.095,0.8726
G/S=37 kg/m^2 (solid),37.0,120.0,33.3333,64.7948,0.9341
G/S=37 kg/m^2 (solid),37.0,125.0,34.7222,67.4946,1.006
G/S=37 kg/m^2 (solid),37.0,130.0,36.1111,70.1944,1.0801
G/S=37 kg/m^2 (solid),37.0,135.0,37.5,72.8942,1.1644
G/S=37 kg/m^2 (solid),37.0,140.0,38.8889,75.594,1.2548
G/S=37 kg/m^2 (solid),37.0,145.0,40.2778,78.2937,1.3497
G/S=37 kg/m^2 (solid),37.0,150.0,41.6667,80.9935,1.4509
G/S=37 kg/m^2 (solid),37.0,155.0,43.0556,83.6933,1.5646
G/S=37 kg/m^2 (solid),37.0,160.0,44.4444,86.3931,1.6835
G/S=37 kg/m^2 (solid),37.0,165.0,45.8333,89.0929,1.8191
G/S=37 kg/m^2 (solid),37.0,170.0,47.2222,91.7927,1.9625
G/S=37 kg/m^2 (solid),37.0,175.0,48.6111,94.4924,2.1207
G/S=37 kg/m^2 (solid),37.0,180.0,50.0,97.1922,2.2801
G/S=37 kg/m^2 (solid),37.0,185.0,51.3889,99.892,2.4527
G/S=37 kg/m^2 (solid),37.0,190.0,52.7778,102.5918,2.6376
G/S=37 kg/m^2 (solid),37.0,195.0,54.1667,105.2916,2.83
G/S=37 kg/m^2 (solid),37.0,200.0,55.5556,107.9914,3.0324
G/S=37 kg/m^2 (solid),37.0,205.0,56.9444,110.6911,3.2549
G/S=37 kg/m^2 (solid),37.0,210.0,58.3333,113.3909,3.4849
G/S=37 kg/m^2 (solid),37.0,215.0,59.7222,116.0907,3.7099
