Aircraft Name,Airbus A320-211,Boeing 737-300,,Embraer E195-E2,Airbus A220-300,MD-90-30 [imperial],MD-82,,,OUR PLANE
In-Service Year,1984,,,,2016,,1981,,,
# of Passengers,150,149,,146,160,153,155,,,150
L/D,8.91,9.01,,12.70953138,11.9,11.72,7.153,,,10.23
EWF,0.568458405,0.519855596,,0.570289855,0.523006864,0.750098943,0.5468,,,0.58
Range [nm],2650 [nm],2200 [nm],,3000 [nm],3400 [nm],2200 [nm],1300 [nm],,,1500
Max Mach,0.82,,,,0.82,0.84,0.8,,,
Cruise Speed (Mach),0.79,0.745,,0.67,0.8,0.76,0.76,,,0.82
Max Fuel Weight [lb],27555,35584,,23700,28439.7,38984.34,39128,,,17466
Max Take-Off Weight [lb],162040,138500,,138000,156307.7,155999.1,147000,,,117240
Max Zero Fuel Weight [lb],134480,,,,127868 [lb],117014.76,118000 [lbs],,,
Empty Weight [lb],92113,72000,,78700,81750,117014.76,80392,,,"67,999"
Payload Weight [lb],42372,"37,240",,35600 [lb],36817.2 [lb],"41,828","38,391",,,31775
